Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-EE-A2MI-06A-11R-A18U-07	0	0.0604033030548771	0	0.181749250532092	0	0.161128019973172	0.0373239546099194	0.0393015506014247	0.0123805581061191	0	0	0.0125938494548142	0.0380930200278909	0.0265951597363131	0.147297630125242	0.235276974360669	0.0186805111403535	0	0.028914458356159	0	0.000261759920954224	0	0	0.31478306414781	0.957244618196679
TCGA-EE-A29P-06A-11R-A18T-07	0.00681024023992509	0	0.00895000458883329	0.464381850493995	0	0.0468705351007743	0.0352621043286898	0.0770070335921257	0.0530242882381051	0	0	0.00132709469167572	0.0198020298847787	0.0971547666221678	0.0784888932524753	0.103171431725025	0.00715250619211096	0	0.000597221049318216	0	0	0	0.01	0.19412975983214	1.03686414280929
TCGA-D3-A3CC-06A-11R-A18S-07	0.0581667224534606	0	0	0.0503751106814907	0	0.146227564596526	0.00387236231460429	0.0252323942680599	0.0249667799068306	0	0	0.0219983242390707	0.0861392812692068	0.038916177294638	0.0564936538219137	0.384586721905008	0.0269994628114476	0	0.076025444437743	0	0	0	0.23	0.0570902817754419	1.05902326642553
TCGA-EB-A5SG-06A-11R-A311-07	0.0128434096591112	0	0.0345219370600149	0.432286629587429	0	0	0.138401839182755	0.0371325376441873	0.0156252607589715	0	0	0.0161602839560329	0.00292923355534285	0.100454287331416	0.109170749224539	0.0692244209487644	0.00979343097587181	0	0.0214559801155633	0	0	0	0.0600000000000001	0.137093790610889	1.05213019925057
TCGA-W3-AA21-06A-11R-A38C-07	0.0771913852916964	0	0	0.262620115146944	0	0.0641477193092498	0.00610322681031304	0.0663232856051913	0.0735759246600861	0	0	0.116330778251965	0.00545571486815508	0.0923740221849706	0.0843188842078471	0.045097748593674	0.00365379558968534	0	0.102807399480222	0	0	0	0.21	0.0693223718488995	1.08158614904714
TCGA-BF-A1Q0-01A-21R-A18S-07	0.040053346356179	0	0.0144065417868376	0.143048840677877	0	0.0921702301534093	0.0107747644802725	0.0801100336814177	0.00870755801297263	6.41490472097566e-05	0	0.0594754734807789	0.00144737391989289	0.0892387903113138	0.19927508037696	0.115535503035288	0.0917108870370289	0	0.0539814276425617	0	0	0	0	0.227650128914815	1.00233388439301
TCGA-FS-A1ZQ-06A-11R-A18U-07	0.158594852626182	0	0.0256156176172381	0.139487528476051	0	0.0368973785811019	0	0.0494537614529567	0.0950499825834423	0	0	0.0299412930838498	0.0214030489803909	0.215160256698695	0.0408826127149477	0.120132215656613	0.0337019025162071	0	0.0336795490123239	0	0	0	0.12	0.0971779430792386	1.04808280333449
TCGA-DA-A3F3-06A-11R-A20F-07	0.0241571239424443	0	0.00694388425338323	0.143668011252164	0	0.0761767751182253	0.0168135766684324	0.103395194402819	0.019877602247165	0	0	0.00248865073707043	0.00326805391345355	0.330154273039757	0.0994319970027134	0.154308484594087	0	0	0.0193163728282844	0	0	0	0.23	0.0565145453813993	1.08605430841582
TCGA-D3-A1Q3-06A-11R-A18T-07	0.1685133512354	0	0.0612478204650046	0.229547577615571	0	0.10223793592582	0.0413559421735034	0.060998000687663	0.0694396302750094	0.00879057455058944	0	0	0	0.0639303235189588	0.0659572067695968	0.0999042473229453	0.0158317128365586	0	0.0122456766233799	0	0	0	0	0.304839162578848	0.96545257795651
TCGA-EE-A3JB-06A-11R-A21D-07	0	0.0602238818063624	0	0.0197295113644013	0	0.169321705573178	0.00676722281143969	0.0214167394720215	0.00937511625587226	0	0.00295049274448311	0	0.00163256542538635	0.382820282700301	0.0665294416978604	0.228978072723658	0	0	0.0302549674250362	0	0	0	0	0.467499506848578	0.885000820421861
TCGA-D3-A3C6-06A-12R-A18U-07	0	0.00192046271333429	0	0.000343927257096699	0	0.0813733322345835	0.0190805141140751	0.00891285953691423	0	0	0.0246661390510153	0	0	0.539512544641992	0.0566864433384649	0.236046395511515	0	0	0.0314573816010091	0	0	0	0.01	0.20112298190447	1.06717050770507
TCGA-FW-A3TV-06A-11R-A239-07	0.181339686276331	0	0.0593411001561404	0.163531465334135	0	0.110709026603694	0.0833855910126137	0.0571211203522724	0.00959989176163781	0	0.00826416602484736	0	0	0.0620953365373634	0.0612401724618243	0.160304934429392	0.0290787020531145	0	0.0139888069966345	0	0	0	0.24	0.0471854940509133	1.06880994437707
TCGA-GN-A4U7-06A-21R-A32P-07	0.0627429458045182	0	0.00558071531521223	0.0328979018858772	0	0.0570591371241528	0.000531351489754911	0.0605924908218932	0.0391371610545278	0	0	0.000437871995748404	0	0.57732820075063	0.025363679947765	0.0853341596352694	0	0	0.0338628142183551	0	0.0191315699562962	0	0.33	0.0303425386928848	1.14640143342515
TCGA-FS-A4F9-06A-11R-A24X-07	0.142514201765673	0	0.0675381165855695	0.0827816926945157	0	0.0744846067595062	0.045823900601398	0.0492198952050714	0	0	0	0.00949190894803078	0.000227188977510484	0.0677157723643298	0.0664335309602895	0.334154336509935	0.0126995426107459	0	0.046915306017425	0	0	0	0.36	0.0251442813516333	1.0727707257145
TCGA-FS-A1YY-06A-11R-A18T-07	0.0253455504862797	0	0	0.0572546865358997	0	0.0584485764515209	0.0380263438954787	0	0	0	0	0.0083293987489854	0	0.436618550575102	0.0237269884808315	0.281685997775757	0	0	0.0705639070501442	0	0	0	0.3	0.0349510960481037	1.12808286059885
TCGA-EE-A2GH-06A-11R-A18T-07	0.0163141376519773	0	0.0393551776098634	0.396929928341745	0	0	0.102023884999235	0.0554985667461359	0.027401929546666	0	0	0.0389066713830145	0.0145675602770849	0.125592238077909	0.0659832823260811	0.0565784127665277	0.0146155121570467	0	0.0462326981167142	0	0	0	0.08	0.123630023302856	1.05191075259845
TCGA-EB-A51B-01A-11R-A27Q-07	0.0192393830967963	0	0	0.131533313549167	0	0.146793145777007	0.0189196597445023	0	0.0071623282700084	0	0	0.0924286959315105	0.0113253277779497	0.049372226706073	0.0964910824831136	0.187746717221776	0.0120338321807686	0	0.225353050507661	0	0.00160123675366654	0	0.21	0.0673830303166673	1.06105181797843
TCGA-ER-A19N-06A-11R-A18S-07	0.0168557279789611	0	0.0596970902108656	0.216638492091254	0	0.083709811563608	0.0414312693247299	0.0155667738112509	0.0369335156993911	0	0	0	0.0210309988346647	0.246805753443588	0.0443761697234518	0.181526051730206	0.0223738868730757	0	0.0130544587149543	0	0	0	0	0.225719241988992	0.997546839582945
TCGA-D3-A5GS-06A-11R-A27Q-07	0.0190261660853483	0	0.000619823463720918	0.257202651879592	0	0.103850325355902	0.0511071757804835	0.0787661106216827	0.0344510049583687	0	0	0	0.00617547523758875	0.110021851646926	0.135072868874904	0.144606267364384	0.0173791044618724	0	0.041721174269227	0	0	0	0.05	0.14155873129144	1.04058959081399
